行业,行业细分,公司,涨跌幅,市值
非周期性消费,酒精饮料,贵州茅台,2.03,2296844619000.0
金融服务,银行,工商银行,0.43,1559997797000.0
工业,工业制品,宁德时代,1.92,1488235985000.0
金融服务,银行,招商银行,1.79,1323035498000.0
金融服务,银行,建设银行,0.17,1084546878000.0
金融服务,银行,农业银行,0.68,1009414730000.0
金融服务,保险,中国平安,0.91,891917591000.0
周期性消费,汽车和配件,比亚迪,0.62,864085422000.0
能源,石油与天然气,中国石油,1.26,843413543000.0
金融服务,银行,中国银行,0.0,836515970000.0
非周期性消费,酒精饮料,五粮液,1.9,825229862000.0
金融服务,保险,中国人寿,1.41,698455671000.0
非周期性消费,农副加工食品,海天味业,0.77,505087883000.0
科技,半导体,隆基股份,2.42,497396224000.0
周期性消费,家具制造,美的集团,-0.24,488797963000.0
科技,硬件,海康威视,0.62,471364851000.0
医疗保健,医疗器械,迈瑞医疗,0.63,459652868000.0
公用事业,公共事业 - 独立发电商,长江电力,0.85,459612975000.0
周期性消费,旅游和娱乐,中国中免,0.54,439892740000.0
医疗保健,医疗诊断和研究,药明康德,-0.53,384982289000.0
金融服务,银行,兴业银行,1.09,384322529000.0
非周期性消费,酒精饮料,山西汾酒,0.19,380309650000.0
能源,其他能源,中国神华,1.26,364308429000.0
金融服务,资本市场,东方财富,1.61,364025601000.0
金融服务,银行,平安银行,1.97,352217415000.0
非周期性消费,农副加工食品,金龙鱼,0.09,350397461000.0
非周期性消费,酒精饮料,泸州老窖,3.29,337669388000.0
医疗保健,医药制造,恒瑞医药,0.41,332604860000.0
金融服务,银行,交通银行,0.87,322812188000.0
基础材料,化工,万华化学,2.7,314728202000.0
工业,交通运输,顺丰控股,3.75,307195215000.0
科技,硬件,立讯精密,5.51,303786311000.0
非周期性消费,农副加工食品,牧原股份,-1.24,302953984000.0
金融服务,资本市场,中信证券,0.91,294190088000.0
医疗保健,医药制造,片仔癀,-1.15,270032717000.0
基础材料,金属与开采,紫金矿业,0.68,266107721000.0
非周期性消费,酒精饮料,洋河股份,0.25,263843459000.0
医疗保健,医疗机构和服务,爱尔眼科,-0.92,255492657000.0
金融服务,银行,浦发银行,1.05,253896232000.0
周期性消费,家具制造,海尔智家,3.53,251466525000.0
金融服务,保险,中国太保,1.25,249911726000.0
非周期性消费,农副加工食品,伊利股份,-0.85,248456956000.0
工业,工业制品,亿纬锂能,0.83,243583607000.0
周期性消费,汽车和配件,上汽集团,0.19,241613981000.0
科技,硬件,工业富联,2.5,236619318000.0
科技,半导体,韦尔股份,1.65,233789107000.0
金融服务,银行,宁波银行,1.89,232870711000.0
周期性消费,包装和容器,恩捷股份,-2.8,231133292000.0
