报告日期,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,
营业总收入(万元),568664,600750,633746,537267,444653,293166,191077,120499,81480,54214,36228,28701,23903,11932,6901,
营业收入(万元),568664,600750,633746,537267,444653,293166,191077,120499,81480,54214,36228,28701,23903,11932,6901,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
营业总成本(万元),552546,587162,560680,467666,326268,214940,144887,95367,70402,48854,32507,24912,19838,8959,5096,
营业成本(万元),424711,449677,423102,347124,258025,161938,107807,69481,53908,38579,25014,19002,15417,6810,3812,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
研发费用(万元),58698,66153,51282,--,--,--,--,--,--,--,--,--,0,0,0,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
营业税金及附加(万元),1215,1458,2371,1190,702,448,2964,3891,2683,1686,1144,917,761,398,214,
销售费用(万元),35835,40256,43946,39550,26754,20068,15951,11754,8498,4687,3041,1948,1036,666,282,
管理费用(万元),28902,32849,42085,81320,49261,32305,19294,11650,6745,5128,4438,3077,2486,1095,746,
财务费用(万元),3184,-3230,-7041,-5057,-9777,-1547,-1700,-1845,-1636,-1254,-1274,-65,-19,-9,-4,
资产减值损失(万元),--,--,4935,3539,1304,1729,570,436,205,29,143,34,157,-2,46,
公允价值变动收益(万元),2508,3682,-159,--,--,--,--,--,--,--,--,--,0,0,0,
投资收益(万元),5837,73151,5760,4431,6304,3238,1532,358,165,--,--,--,7,0,0,
对联营企业和合营企业的投资收益(万元),-1192,-3419,-481,-530,-192,-1,--,--,--,--,--,--,0,0,0,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
营业利润(万元),28962,16404,84133,83343,124689,81464,47722,25490,11242,5360,3722,3790,4072,2973,1805,
营业外收入(万元),1118,591,1164,1810,8761,6799,3765,2054,1398,1208,829,770,370,79,103,
营业外支出(万元),8246,14829,476,129,850,417,1347,909,360,103,19,37,46,2,0,
非流动资产处置损失(万元),--,--,--,--,835,369,591,774,345,91,2,19,380,0,0,
利润总额(万元),21833,2167,84821,85024,132600,87845,50140,26635,12280,6465,4532,4523,4396,3050,1908,
所得税费用(万元),-117,-1557,5074,3345,7780,4890,1770,2923,1906,993,705,637,689,470,326,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
净利润(万元),21950,3724,79747,81679,124820,82955,48370,23711,10375,5472,3827,3885,3707,2579,1582,
归属于母公司所有者的净利润(万元),22000,3448,80415,83040,125040,83135,48370,23711,10375,5472,3827,3885,3708,2548,1624,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),-50,276,-668,-1361,-220,-179,--,--,--,--,-0,--,-1,31,-42,
基本每股收益,0.09,0.01,0.33,0.34,1.62,1.19,1.54,1.53,0.67,0.35,0.25,0.55,0.61,0,0,
稀释每股收益,0.09,0.01,0.33,0.34,1.6,1.16,1.49,1.48,0.67,0.35,0.25,0.55,0.61,0,0,
